name; classid; duration; start; burst; end; wait; contextNum; contextSwitch; timeSlice; funcid
801; 1; 99.0; 0; 100; 99.0; 0; 0; 99; 100; 1
805; 1; 459.0; 40; 100; 499.0; 360; 0; 499; 100; 1
809; 1; 819.0; 80; 100; 899.0; 720; 0; 899; 100; 1
813; 1; 1179.0; 120; 100; 1299.0; 1080; 0; 1299; 100; 1
817; 1; 1539.0; 160; 100; 1699.0; 1440; 0; 1699; 100; 1
821; 1; 1899.0; 200; 100; 2099.0; 1800; 0; 2099; 100; 1
825; 1; 2259.0; 240; 100; 2499.0; 2160; 0; 2499; 100; 1
829; 1; 2619.0; 280; 100; 2899.0; 2520; 0; 2899; 100; 1
833; 1; 2979.0; 320; 100; 3299.0; 2880; 0; 3299; 100; 1
837; 1; 3339.0; 360; 100; 3699.0; 3240; 0; 3699; 100; 1
841; 1; 3699.0; 400; 100; 4099.0; 3600; 0; 4099; 100; 1
845; 1; 4059.0; 440; 100; 4499.0; 3960; 0; 4499; 100; 1
849; 1; 4419.0; 480; 100; 4899.0; 4320; 0; 4899; 100; 1
853; 1; 4779.0; 520; 100; 5299.0; 4680; 0; 5299; 100; 1
857; 1; 5139.0; 560; 100; 5699.0; 5040; 0; 5699; 100; 1
861; 1; 5499.0; 600; 100; 6099.0; 5400; 0; 6099; 100; 1
865; 1; 5859.0; 640; 100; 6499.0; 5760; 0; 6499; 100; 1
869; 1; 6219.0; 680; 100; 6899.0; 6120; 0; 6899; 100; 1
873; 1; 6579.0; 720; 100; 7299.0; 6480; 0; 7299; 100; 1
877; 1; 6939.0; 760; 100; 7699.0; 6840; 0; 7699; 100; 1
881; 1; 7299.0; 800; 100; 8099.0; 7200; 0; 8099; 100; 1
885; 1; 7659.0; 840; 100; 8499.0; 7560; 0; 8499; 100; 1
889; 1; 8019.0; 880; 100; 8899.0; 7920; 0; 8899; 100; 1
893; 1; 8379.0; 920; 100; 9299.0; 8280; 0; 9299; 100; 1
897; 1; 8739.0; 960; 100; 9699.0; 8640; 0; 9699; 100; 1
802; 2; 189.0; 10; 100; 199.0; 90; 0; 199; 100; 2
806; 2; 549.0; 50; 100; 599.0; 450; 0; 599; 100; 2
810; 2; 909.0; 90; 100; 999.0; 810; 0; 999; 100; 2
814; 2; 1269.0; 130; 100; 1399.0; 1170; 0; 1399; 100; 2
818; 2; 1629.0; 170; 100; 1799.0; 1530; 0; 1799; 100; 2
822; 2; 1989.0; 210; 100; 2199.0; 1890; 0; 2199; 100; 2
826; 2; 2349.0; 250; 100; 2599.0; 2250; 0; 2599; 100; 2
830; 2; 2709.0; 290; 100; 2999.0; 2610; 0; 2999; 100; 2
834; 2; 3069.0; 330; 100; 3399.0; 2970; 0; 3399; 100; 2
838; 2; 3429.0; 370; 100; 3799.0; 3330; 0; 3799; 100; 2
842; 2; 3789.0; 410; 100; 4199.0; 3690; 0; 4199; 100; 2
846; 2; 4149.0; 450; 100; 4599.0; 4050; 0; 4599; 100; 2
850; 2; 4509.0; 490; 100; 4999.0; 4410; 0; 4999; 100; 2
854; 2; 4869.0; 530; 100; 5399.0; 4770; 0; 5399; 100; 2
858; 2; 5229.0; 570; 100; 5799.0; 5130; 0; 5799; 100; 2
862; 2; 5589.0; 610; 100; 6199.0; 5490; 0; 6199; 100; 2
866; 2; 5949.0; 650; 100; 6599.0; 5850; 0; 6599; 100; 2
870; 2; 6309.0; 690; 100; 6999.0; 6210; 0; 6999; 100; 2
874; 2; 6669.0; 730; 100; 7399.0; 6570; 0; 7399; 100; 2
878; 2; 7029.0; 770; 100; 7799.0; 6930; 0; 7799; 100; 2
882; 2; 7389.0; 810; 100; 8199.0; 7290; 0; 8199; 100; 2
886; 2; 7749.0; 850; 100; 8599.0; 7650; 0; 8599; 100; 2
890; 2; 8109.0; 890; 100; 8999.0; 8010; 0; 8999; 100; 2
894; 2; 8469.0; 930; 100; 9399.0; 8370; 0; 9399; 100; 2
898; 2; 8829.0; 970; 100; 9799.0; 8730; 0; 9799; 100; 2
803; 3; 279.0; 20; 100; 299.0; 180; 0; 299; 100; 3
807; 3; 639.0; 60; 100; 699.0; 540; 0; 699; 100; 3
811; 3; 999.0; 100; 100; 1099.0; 900; 0; 1099; 100; 3
815; 3; 1359.0; 140; 100; 1499.0; 1260; 0; 1499; 100; 3
819; 3; 1719.0; 180; 100; 1899.0; 1620; 0; 1899; 100; 3
823; 3; 2079.0; 220; 100; 2299.0; 1980; 0; 2299; 100; 3
827; 3; 2439.0; 260; 100; 2699.0; 2340; 0; 2699; 100; 3
831; 3; 2799.0; 300; 100; 3099.0; 2700; 0; 3099; 100; 3
835; 3; 3159.0; 340; 100; 3499.0; 3060; 0; 3499; 100; 3
839; 3; 3519.0; 380; 100; 3899.0; 3420; 0; 3899; 100; 3
843; 3; 3879.0; 420; 100; 4299.0; 3780; 0; 4299; 100; 3
847; 3; 4239.0; 460; 100; 4699.0; 4140; 0; 4699; 100; 3
851; 3; 4599.0; 500; 100; 5099.0; 4500; 0; 5099; 100; 3
855; 3; 4959.0; 540; 100; 5499.0; 4860; 0; 5499; 100; 3
859; 3; 5319.0; 580; 100; 5899.0; 5220; 0; 5899; 100; 3
863; 3; 5679.0; 620; 100; 6299.0; 5580; 0; 6299; 100; 3
867; 3; 6039.0; 660; 100; 6699.0; 5940; 0; 6699; 100; 3
871; 3; 6399.0; 700; 100; 7099.0; 6300; 0; 7099; 100; 3
875; 3; 6759.0; 740; 100; 7499.0; 6660; 0; 7499; 100; 3
879; 3; 7119.0; 780; 100; 7899.0; 7020; 0; 7899; 100; 3
883; 3; 7479.0; 820; 100; 8299.0; 7380; 0; 8299; 100; 3
887; 3; 7839.0; 860; 100; 8699.0; 7740; 0; 8699; 100; 3
891; 3; 8199.0; 900; 100; 9099.0; 8100; 0; 9099; 100; 3
895; 3; 8559.0; 940; 100; 9499.0; 8460; 0; 9499; 100; 3
899; 3; 8919.0; 980; 100; 9899.0; 8820; 0; 9899; 100; 3
804; 4; 369.0; 30; 100; 399.0; 270; 0; 399; 100; 4
808; 4; 729.0; 70; 100; 799.0; 630; 0; 799; 100; 4
812; 4; 1089.0; 110; 100; 1199.0; 990; 0; 1199; 100; 4
816; 4; 1449.0; 150; 100; 1599.0; 1350; 0; 1599; 100; 4
820; 4; 1809.0; 190; 100; 1999.0; 1710; 0; 1999; 100; 4
824; 4; 2169.0; 230; 100; 2399.0; 2070; 0; 2399; 100; 4
828; 4; 2529.0; 270; 100; 2799.0; 2430; 0; 2799; 100; 4
832; 4; 2889.0; 310; 100; 3199.0; 2790; 0; 3199; 100; 4
836; 4; 3249.0; 350; 100; 3599.0; 3150; 0; 3599; 100; 4
840; 4; 3609.0; 390; 100; 3999.0; 3510; 0; 3999; 100; 4
844; 4; 3969.0; 430; 100; 4399.0; 3870; 0; 4399; 100; 4
848; 4; 4329.0; 470; 100; 4799.0; 4230; 0; 4799; 100; 4
852; 4; 4689.0; 510; 100; 5199.0; 4590; 0; 5199; 100; 4
856; 4; 5049.0; 550; 100; 5599.0; 4950; 0; 5599; 100; 4
860; 4; 5409.0; 590; 100; 5999.0; 5310; 0; 5999; 100; 4
864; 4; 5769.0; 630; 100; 6399.0; 5670; 0; 6399; 100; 4
868; 4; 6129.0; 670; 100; 6799.0; 6030; 0; 6799; 100; 4
872; 4; 6489.0; 710; 100; 7199.0; 6390; 0; 7199; 100; 4
876; 4; 6849.0; 750; 100; 7599.0; 6750; 0; 7599; 100; 4
880; 4; 7209.0; 790; 100; 7999.0; 7110; 0; 7999; 100; 4
884; 4; 7569.0; 830; 100; 8399.0; 7470; 0; 8399; 100; 4
888; 4; 7929.0; 870; 100; 8799.0; 7830; 0; 8799; 100; 4
892; 4; 8289.0; 910; 100; 9199.0; 8190; 0; 9199; 100; 4
896; 4; 8649.0; 950; 100; 9599.0; 8550; 0; 9599; 100; 4
900; 4; 9009.0; 990; 100; 9999.0; 8910; 0; 9999; 100; 4
